Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,index,key,value,min,max,norm_val,mid
Argentina,Latin America and Caribbean,5.929,9.962,0.898,69,0.828,-0.182,0.834,4,"""Social support""",0.898,0.54,0.983,0.808126411,0.7615
Argentina,Latin America and Caribbean,5.929,9.962,0.898,69,0.828,-0.182,0.834,4,"""Healthy life expectancy""",69,48.7,75.1,0.768939394,61.9
Argentina,Latin America and Caribbean,5.929,9.962,0.898,69,0.828,-0.182,0.834,4,"""Freedom to make life choices""",0.828,0.561,0.96,0.669172932,0.7605
Argentina,Latin America and Caribbean,5.929,9.962,0.898,69,0.828,-0.182,0.834,4,"""Generosity""",-0.182,-0.236,0.509,0.072483221,0.1365
Argentina,Latin America and Caribbean,5.929,9.962,0.898,69,0.828,-0.182,0.834,4,"""Perceptions of corruption""",0.834,0.242,0.918,0.875739645,0.58
Armenia,Commonwealth of Independent States,5.283,9.487,0.799,67.055,0.825,-0.168,0.629,5,"""Ladder score""",5.283,2.523,7.842,0.518894529,5.1825
Armenia,Commonwealth of Independent States,5.283,9.487,0.799,67.055,0.825,-0.168,0.629,5,"""Logged GDP per capita""",9.487,7.364,10.933,0.594844494,9.1485
Armenia,Commonwealth of Independent States,5.283,9.487,0.799,67.055,0.825,-0.168,0.629,5,"""Social support""",0.799,0.54,0.983,0.584650113,0.7615
Armenia,Commonwealth of Independent States,5.283,9.487,0.799,67.055,0.825,-0.168,0.629,5,"""Healthy life expectancy""",67.055,48.7,75.1,0.695265152,61.9
Armenia,Commonwealth of Independent States,5.283,9.487,0.799,67.055,0.825,-0.168,0.629,5,"""Freedom to make life choices""",0.825,0.561,0.96,0.661654135,0.7605
Armenia,Commonwealth of Independent States,5.283,9.487,0.799,67.055,0.825,-0.168,0.629,5,"""Generosity""",-0.168,-0.236,0.509,0.091275168,0.1365
Armenia,Commonwealth of Independent States,5.283,9.487,0.799,67.055,0.825,-0.168,0.629,5,"""Perceptions of corruption""",0.629,0.242,0.918,0.572485207,0.58
Australia,North America and ANZ,7.183,10.796,0.94,73.9,0.914,0.159,0.442,6,"""Ladder score""",7.183,2.523,7.842,0.876104531,5.1825
Australia,North America and ANZ,7.183,10.796,0.94,73.9,0.914,0.159,0.442,6,"""Logged GDP per capita""",10.796,7.364,10.933,0.961613897,9.1485
Australia,North America and ANZ,7.183,10.796,0.94,73.9,0.914,0.159,0.442,6,"""Social support""",0.94,0.54,0.983,0.902934537,0.7615
Australia,North America and ANZ,7.183,10.796,0.94,73.9,0.914,0.159,0.442,6,"""Healthy life expectancy""",73.9,48.7,75.1,0.954545455,61.9
Australia,North America and ANZ,7.183,10.796,0.94,73.9,0.914,0.159,0.442,6,"""Freedom to make life choices""",0.914,0.561,0.96,0.884711779,0.7605
Australia,North America and ANZ,7.183,10.796,0.94,73.9,0.914,0.159,0.442,6,"""Generosity""",0.159,-0.236,0.509,0.530201342,0.1365
Australia,North America and ANZ,7.183,10.796,0.94,73.9,0.914,0.159,0.442,6,"""Perceptions of corruption""",0.442,0.242,0.918,0.295857988,0.58
Austria,Western Europe,7.268,10.906,0.934,73.3,0.908,0.042,0.481,7,"""Ladder score""",7.268,2.523,7.842,0.892084978,5.1825
Austria,Western Europe,7.268,10.906,0.934,73.3,0.908,0.042,0.481,7,"""Logged GDP per capita""",10.906,7.364,10.933,0.992434856,9.1485
Austria,Western Europe,7.268,10.906,0.934,73.3,0.908,0.042,0.481,7,"""Social support""",0.934,0.54,0.983,0.889390519,0.7615
Austria,Western Europe,7.268,10.906,0.934,73.3,0.908,0.042,0.481,7,"""Healthy life expectancy""",73.3,48.7,75.1,0.931818182,61.9
Austria,Western Europe,7.268,10.906,0.934,73.3,0.908,0.042,0.481,7,"""Freedom to make life choices""",0.908,0.561,0.96,0.869674185,0.7605
Austria,Western Europe,7.268,10.906,0.934,73.3,0.908,0.042,0.481,7,"""Generosity""",0.042,-0.236,0.509,0.373154362,0.1365
Austria,Western Europe,7.268,10.906,0.934,73.3,0.908,0.042,0.481,7,"""Perceptions of corruption""",0.481,0.242,0.918,0.353550296,0.58
Azerbaijan,Commonwealth of Independent States,5.171,9.569,0.836,65.656,0.814,-0.223,0.506,8,"""Ladder score""",5.171,2.523,7.842,0.497837939,5.1825
Azerbaijan,Commonwealth of Independent States,5.171,9.569,0.836,65.656,0.814,-0.223,0.506,8,"""Logged GDP per capita""",9.569,7.364,10.933,0.617820118,9.1485
Azerbaijan,Commonwealth of Independent States,5.171,9.569,0.836,65.656,0.814,-0.223,0.506,8,"""Social support""",0.836,0.54,0.983,0.668171558,0.7615
Azerbaijan,Commonwealth of Independent States,5.171,9.569,0.836,65.656,0.814,-0.223,0.506,8,"""Healthy life expectancy""",65.656,48.7,75.1,0.642272727,61.9
Azerbaijan,Commonwealth of Independent States,5.171,9.569,0.836,65.656,0.814,-0.223,0.506,8,"""Freedom to make life choices""",0.814,0.561,0.96,0.634085213,0.7605
Azerbaijan,Commonwealth of Independent States,5.171,9.569,0.836,65.656,0.814,-0.223,0.506,8,"""Generosity""",-0.223,-0.236,0.509,0.017449664,0.1365
Azerbaijan,Commonwealth of Independent States,5.171,9.569,0.836,65.656,0.814,-0.223,0.506,8,"""Perceptions of corruption""",0.506,0.242,0.918,0.390532544,0.58
Bahrain,Middle East and North Africa,6.647,10.669,0.862,69.495,0.925,0.089,0.722,9,"""Ladder score""",6.647,2.523,7.842,0.775333709,5.1825
Bahrain,Middle East and North Africa,6.647,10.669,0.862,69.495,0.925,0.089,0.722,9,"""Logged GDP per capita""",10.669,7.364,10.933,0.9260297,9.1485
Bahrain,Middle East and North Africa,6.647,10.669,0.862,69.495,0.925,0.089,0.722,9,"""Social support""",0.862,0.54,0.983,0.726862302,0.7615
Bahrain,Middle East and North Africa,6.647,10.669,0.862,69.495,0.925,0.089,0.722,9,"""Healthy life expectancy""",69.495,48.7,75.1,0.787689394,61.9
Bahrain,Middle East and North Africa,6.647,10.669,0.862,69.495,0.925,0.089,0.722,9,"""Freedom to make life choices""",0.925,0.561,0.96,0.912280702,0.7605
Bahrain,Middle East and North Africa,6.647,10.669,0.862,69.495,0.925,0.089,0.722,9,"""Generosity""",0.089,-0.236,0.509,0.436241611,0.1365
Bahrain,Middle East and North Africa,6.647,10.669,0.862,69.495,0.925,0.089,0.722,9,"""Perceptions of corruption""",0.722,0.242,0.918,0.710059172,0.58
Bangladesh,South Asia,5.025,8.454,0.693,64.8,0.877,-0.041,0.682,10,"""Ladder score""",5.025,2.523,7.842,0.470389171,5.1825
Bangladesh,South Asia,5.025,8.454,0.693,64.8,0.877,-0.041,0.682,10,"""Logged GDP per capita""",8.454,7.364,10.933,0.305407677,9.1485
Bangladesh,South Asia,5.025,8.454,0.693,64.8,0.877,-0.041,0.682,10,"""Social support""",0.693,0.54,0.983,0.34537246,0.7615
Bangladesh,South Asia,5.025,8.454,0.693,64.8,0.877,-0.041,0.682,10,"""Healthy life expectancy""",64.8,48.7,75.1,0.609848485,61.9
Bangladesh,South Asia,5.025,8.454,0.693,64.8,0.877,-0.041,0.682,10,"""Freedom to make life choices""",0.877,0.561,0.96,0.79197995,0.7605
Bangladesh,South Asia,5.025,8.454,0.693,64.8,0.877,-0.041,0.682,10,"""Generosity""",-0.041,-0.236,0.509,0.261744966,0.1365
Bangladesh,South Asia,5.025,8.454,0.693,64.8,0.877,-0.041,0.682,10,"""Perceptions of corruption""",0.682,0.242,0.918,0.650887574,0.58
Belarus,Commonwealth of Independent States,5.534,9.853,0.91,66.253,0.65,-0.18,0.627,11,"""Ladder score""",5.534,2.523,7.842,0.56608385,5.1825
Belarus,Commonwealth of Independent States,5.534,9.853,0.91,66.253,0.65,-0.18,0.627,11,"""Logged GDP per capita""",9.853,7.364,10.933,0.697394228,9.1485
Belarus,Commonwealth of Independent States,5.534,9.853,0.91,66.253,0.65,-0.18,0.627,11,"""Social support""",0.91,0.54,0.983,0.835214447,0.7615
Belarus,Commonwealth of Independent States,5.534,9.853,0.91,66.253,0.65,-0.18,0.627,11,"""Healthy life expectancy""",66.253,48.7,75.1,0.664886364,61.9
Belarus,Commonwealth of Independent States,5.534,9.853,0.91,66.253,0.65,-0.18,0.627,11,"""Freedom to make life choices""",0.65,0.561,0.96,0.223057644,0.7605
Belarus,Commonwealth of Independent States,5.534,9.853,0.91,66.253,0.65,-0.18,0.627,11,"""Generosity""",-0.18,-0.236,0.509,0.075167785,0.1365
Belarus,Commonwealth of Independent States,5.534,9.853,0.91,66.253,0.65,-0.18,0.627,11,"""Perceptions of corruption""",0.627,0.242,0.918,0.569526627,0.58
Belgium,Western Europe,6.834,10.823,0.906,72.199,0.783,-0.153,0.646,12,"""Ladder score""",6.834,2.523,7.842,0.810490694,5.1825
Belgium,Western Europe,6.834,10.823,0.906,72.199,0.783,-0.153,0.646,12,"""Logged GDP per capita""",10.823,7.364,10.933,0.969179042,9.1485
Belgium,Western Europe,6.834,10.823,0.906,72.199,0.783,-0.153,0.646,12,"""Social support""",0.906,0.54,0.983,0.826185102,0.7615
Belgium,Western Europe,6.834,10.823,0.906,72.199,0.783,-0.153,0.646,12,"""Healthy life expectancy""",72.199,48.7,75.1,0.890113636,61.9
Belgium,Western Europe,6.834,10.823,0.906,72.199,0.783,-0.153,0.646,12,"""Freedom to make life choices""",0.783,0.561,0.96,0.556390977,0.7605
Belgium,Western Europe,6.834,10.823,0.906,72.199,0.783,-0.153,0.646,12,"""Generosity""",-0.153,-0.236,0.509,0.111409396,0.1365
Belgium,Western Europe,6.834,10.823,0.906,72.199,0.783,-0.153,0.646,12,"""Perceptions of corruption""",0.646,0.242,0.918,0.597633136,0.58
Benin,Sub-Saharan Africa,5.045,8.087,0.489,54.713,0.757,-0.034,0.661,13,"""Ladder score""",5.045,2.523,7.842,0.474149276,5.1825
Benin,Sub-Saharan Africa,5.045,8.087,0.489,54.713,0.757,-0.034,0.661,13,"""Logged GDP per capita""",8.087,7.364,10.933,0.202577753,9.1485
Benin,Sub-Saharan Africa,5.045,8.087,0.489,54.713,0.757,-0.034,0.661,13,"""Social support""",0.489,0.54,0.983,-0.115124153,0.7615
Benin,Sub-Saharan Africa,5.045,8.087,0.489,54.713,0.757,-0.034,0.661,13,"""Healthy life expectancy""",54.713,48.7,75.1,0.227765152,61.9
Benin,Sub-Saharan Africa,5.045,8.087,0.489,54.713,0.757,-0.034,0.661,13,"""Freedom to make life choices""",0.757,0.561,0.96,0.49122807,0.7605
Benin,Sub-Saharan Africa,5.045,8.087,0.489,54.713,0.757,-0.034,0.661,13,"""Generosity""",-0.034,-0.236,0.509,0.27114094,0.1365
Benin,Sub-Saharan Africa,5.045,8.087,0.489,54.713,0.757,-0.034,0.661,13,"""Perceptions of corruption""",0.661,0.242,0.918,0.619822485,0.58
Bolivia,Latin America and Caribbean,5.716,9.046,0.81,63.901,0.875,-0.077,0.839,14,"""Ladder score""",5.716,2.523,7.842,0.600300808,5.1825
Bolivia,Latin America and Caribbean,5.716,9.046,0.81,63.901,0.875,-0.077,0.839,14,"""Logged GDP per capita""",9.046,7.364,10.933,0.471280471,9.1485
Bolivia,Latin America and Caribbean,5.716,9.046,0.81,63.901,0.875,-0.077,0.839,14,"""Social support""",0.81,0.54,0.983,0.609480813,0.7615
Bolivia,Latin America and Caribbean,5.716,9.046,0.81,63.901,0.875,-0.077,0.839,14,"""Healthy life expectancy""",63.901,48.7,75.1,0.575795455,61.9
Bolivia,Latin America and Caribbean,5.716,9.046,0.81,63.901,0.875,-0.077,0.839,14,"""Freedom to make life choices""",0.875,0.561,0.96,0.786967419,0.7605
Bolivia,Latin America and Caribbean,5.716,9.046,0.81,63.901,0.875,-0.077,0.839,14,"""Generosity""",-0.077,-0.236,0.509,0.213422819,0.1365
Bolivia,Latin America and Caribbean,5.716,9.046,0.81,63.901,0.875,-0.077,0.839,14,"""Perceptions of corruption""",0.839,0.242,0.918,0.883136095,0.58
Bosnia and Herzegovina,Central and Eastern Europe,5.813,9.59,0.87,68.098,0.706,0.113,0.931,15,"""Ladder score""",5.813,2.523,7.842,0.618537319,5.1825
Bosnia and Herzegovina,Central and Eastern Europe,5.813,9.59,0.87,68.098,0.706,0.113,0.931,15,"""Logged GDP per capita""",9.59,7.364,10.933,0.623704119,9.1485
Bosnia and Herzegovina,Central and Eastern Europe,5.813,9.59,0.87,68.098,0.706,0.113,0.931,15,"""Social support""",0.87,0.54,0.983,0.744920993,0.7615
Bosnia and Herzegovina,Central and Eastern Europe,5.813,9.59,0.87,68.098,0.706,0.113,0.931,15,"""Healthy life expectancy""",68.098,48.7,75.1,0.734772727,61.9
Bosnia and Herzegovina,Central and Eastern Europe,5.813,9.59,0.87,68.098,0.706,0.113,0.931,15,"""Freedom to make life choices""",0.706,0.561,0.96,0.363408521,0.7605
Bosnia and Herzegovina,Central and Eastern Europe,5.813,9.59,0.87,68.098,0.706,0.113,0.931,15,"""Generosity""",0.113,-0.236,0.509,0.468456376,0.1365
Bosnia and Herzegovina,Central and Eastern Europe,5.813,9.59,0.87,68.098,0.706,0.113,0.931,15,"""Perceptions of corruption""",0.931,0.242,0.918,1.019230769,0.58
Botswana,Sub-Saharan Africa,3.467,9.782,0.784,59.269,0.824,-0.246,0.801,16,"""Ladder score""",3.467,2.523,7.842,0.177476969,5.1825
Botswana,Sub-Saharan Africa,3.467,9.782,0.784,59.269,0.824,-0.246,0.801,16,"""Logged GDP per capita""",9.782,7.364,10.933,0.6775007,9.1485
Botswana,Sub-Saharan Africa,3.467,9.782,0.784,59.269,0.824,-0.246,0.801,16,"""Social support""",0.784,0.54,0.983,0.550790068,0.7615
Botswana,Sub-Saharan Africa,3.467,9.782,0.784,59.269,0.824,-0.246,0.801,16,"""Healthy life expectancy""",59.269,48.7,75.1,0.400340909,61.9
Botswana,Sub-Saharan Africa,3.467,9.782,0.784,59.269,0.824,-0.246,0.801,16,"""Freedom to make life choices""",0.824,0.561,0.96,0.65914787,0.7605
Botswana,Sub-Saharan Africa,3.467,9.782,0.784,59.269,0.824,-0.246,0.801,16,"""Generosity""",-0.246,-0.236,0.509,-0.013422819,0.1365
Botswana,Sub-Saharan Africa,3.467,9.782,0.784,59.269,0.824,-0.246,0.801,16,"""Perceptions of corruption""",0.801,0.242,0.918,0.826923077,0.58
Brazil,Latin America and Caribbean,6.33,9.577,0.882,66.601,0.804,-0.071,0.756,17,"""Ladder score""",6.33,2.523,7.842,0.715736041,5.1825
Brazil,Latin America and Caribbean,6.33,9.577,0.882,66.601,0.804,-0.071,0.756,17,"""Logged GDP per capita""",9.577,7.364,10.933,0.620061642,9.1485
Brazil,Latin America and Caribbean,6.33,9.577,0.882,66.601,0.804,-0.071,0.756,17,"""Social support""",0.882,0.54,0.983,0.772009029,0.7615
Brazil,Latin America and Caribbean,6.33,9.577,0.882,66.601,0.804,-0.071,0.756,17,"""Healthy life expectancy""",66.601,48.7,75.1,0.678068182,61.9
Brazil,Latin America and Caribbean,6.33,9.577,0.882,66.601,0.804,-0.071,0.756,17,"""Freedom to make life choices""",0.804,0.561,0.96,0.609022556,0.7605
Brazil,Latin America and Caribbean,6.33,9.577,0.882,66.601,0.804,-0.071,0.756,17,"""Generosity""",-0.071,-0.236,0.509,0.22147651,0.1365
Brazil,Latin America and Caribbean,6.33,9.577,0.882,66.601,0.804,-0.071,0.756,17,"""Perceptions of corruption""",0.756,0.242,0.918,0.76035503,0.58
Bulgaria,Central and Eastern Europe,5.266,10.016,0.931,67,0.788,-0.096,0.932,18,"""Ladder score""",5.266,2.523,7.842,0.51569844,5.1825
Bulgaria,Central and Eastern Europe,5.266,10.016,0.931,67,0.788,-0.096,0.932,18,"""Logged GDP per capita""",10.016,7.364,10.933,0.743065284,9.1485
Bulgaria,Central and Eastern Europe,5.266,10.016,0.931,67,0.788,-0.096,0.932,18,"""Social support""",0.931,0.54,0.983,0.88261851,0.7615
Bulgaria,Central and Eastern Europe,5.266,10.016,0.931,67,0.788,-0.096,0.932,18,"""Healthy life expectancy""",67,48.7,75.1,0.693181818,61.9
Bulgaria,Central and Eastern Europe,5.266,10.016,0.931,67,0.788,-0.096,0.932,18,"""Freedom to make life choices""",0.788,0.561,0.96,0.568922306,0.7605
Bulgaria,Central and Eastern Europe,5.266,10.016,0.931,67,0.788,-0.096,0.932,18,"""Generosity""",-0.096,-0.236,0.509,0.187919463,0.1365
Bulgaria,Central and Eastern Europe,5.266,10.016,0.931,67,0.788,-0.096,0.932,18,"""Perceptions of corruption""",0.932,0.242,0.918,1.020710059,0.58
Burkina Faso,Sub-Saharan Africa,4.834,7.678,0.672,54.151,0.695,-0.009,0.748,19,"""Ladder score""",4.834,2.523,7.842,0.434480165,5.1825
Burkina Faso,Sub-Saharan Africa,4.834,7.678,0.672,54.151,0.695,-0.009,0.748,19,"""Logged GDP per capita""",7.678,7.364,10.933,0.087979826,9.1485
Burkina Faso,Sub-Saharan Africa,4.834,7.678,0.672,54.151,0.695,-0.009,0.748,19,"""Social support""",0.672,0.54,0.983,0.297968397,0.7615
Burkina Faso,Sub-Saharan Africa,4.834,7.678,0.672,54.151,0.695,-0.009,0.748,19,"""Healthy life expectancy""",54.151,48.7,75.1,0.206477273,61.9
Burkina Faso,Sub-Saharan Africa,4.834,7.678,0.672,54.151,0.695,-0.009,0.748,19,"""Freedom to make life choices""",0.695,0.561,0.96,0.335839599,0.7605
Burkina Faso,Sub-Saharan Africa,4.834,7.678,0.672,54.151,0.695,-0.009,0.748,19,"""Generosity""",-0.009,-0.236,0.509,0.304697987,0.1365
Burkina Faso,Sub-Saharan Africa,4.834,7.678,0.672,54.151,0.695,-0.009,0.748,19,"""Perceptions of corruption""",0.748,0.242,0.918,0.74852071,0.58
Burundi,Sub-Saharan Africa,3.775,6.635,0.49,53.4,0.626,-0.024,0.607,20,"""Ladder score""",3.775,2.523,7.842,0.235382591,5.1825
Burundi,Sub-Saharan Africa,3.775,6.635,0.49,53.4,0.626,-0.024,0.607,20,"""Logged GDP per capita""",6.635,7.364,10.933,-0.204258896,9.1485
Burundi,Sub-Saharan Africa,3.775,6.635,0.49,53.4,0.626,-0.024,0.607,20,"""Social support""",0.49,0.54,0.983,-0.112866817,0.7615
Burundi,Sub-Saharan Africa,3.775,6.635,0.49,53.4,0.626,-0.024,0.607,20,"""Healthy life expectancy""",53.4,48.7,75.1,0.178030303,61.9
Burundi,Sub-Saharan Africa,3.775,6.635,0.49,53.4,0.626,-0.024,0.607,20,"""Freedom to make life choices""",0.626,0.561,0.96,0.162907268,0.7605
Burundi,Sub-Saharan Africa,3.775,6.635,0.49,53.4,0.626,-0.024,0.607,20,"""Generosity""",-0.024,-0.236,0.509,0.284563758,0.1365
Burundi,Sub-Saharan Africa,3.775,6.635,0.49,53.4,0.626,-0.024,0.607,20,"""Perceptions of corruption""",0.607,0.242,0.918,0.539940828,0.58
Cambodia,Southeast Asia,4.83,8.36,0.765,62,0.959,0.034,0.843,21,"""Ladder score""",4.83,2.523,7.842,0.433728144,5.1825
Cambodia,Southeast Asia,4.83,8.36,0.765,62,0.959,0.034,0.843,21,"""Logged GDP per capita""",8.36,7.364,10.933,0.279069767,9.1485
Cambodia,Southeast Asia,4.83,8.36,0.765,62,0.959,0.034,0.843,21,"""Social support""",0.765,0.54,0.983,0.507900677,0.7615
Cambodia,Southeast Asia,4.83,8.36,0.765,62,0.959,0.034,0.843,21,"""Healthy life expectancy""",62,48.7,75.1,0.503787879,61.9
Cambodia,Southeast Asia,4.83,8.36,0.765,62,0.959,0.034,0.843,21,"""Freedom to make life choices""",0.959,0.561,0.96,0.997493734,0.7605
Cambodia,Southeast Asia,4.83,8.36,0.765,62,0.959,0.034,0.843,21,"""Generosity""",0.034,-0.236,0.509,0.362416107,0.1365
Cambodia,Southeast Asia,4.83,8.36,0.765,62,0.959,0.034,0.843,21,"""Perceptions of corruption""",0.843,0.242,0.918,0.889053254,0.58
Cameroon,Sub-Saharan Africa,5.142,8.189,0.71,53.515,0.731,0.026,0.848,22,"""Ladder score""",5.142,2.523,7.842,0.492385787,5.1825
Cameroon,Sub-Saharan Africa,5.142,8.189,0.71,53.515,0.731,0.026,0.848,22,"""Logged GDP per capita""",8.189,7.364,10.933,0.231157187,9.1485
Cameroon,Sub-Saharan Africa,5.142,8.189,0.71,53.515,0.731,0.026,0.848,22,"""Social support""",0.71,0.54,0.983,0.383747178,0.7615
Cameroon,Sub-Saharan Africa,5.142,8.189,0.71,53.515,0.731,0.026,0.848,22,"""Healthy life expectancy""",53.515,48.7,75.1,0.182386364,61.9
Cameroon,Sub-Saharan Africa,5.142,8.189,0.71,53.515,0.731,0.026,0.848,22,"""Freedom to make life choices""",0.731,0.561,0.96,0.426065163,0.7605
Cameroon,Sub-Saharan Africa,5.142,8.189,0.71,53.515,0.731,0.026,0.848,22,"""Generosity""",0.026,-0.236,0.509,0.351677852,0.1365
Cameroon,Sub-Saharan Africa,5.142,8.189,0.71,53.515,0.731,0.026,0.848,22,"""Perceptions of corruption""",0.848,0.242,0.918,0.896449704,0.58
Canada,North America and ANZ,7.103,10.776,0.926,73.8,0.915,0.089,0.415,23,"""Ladder score""",7.103,2.523,7.842,0.86106411,5.1825
Canada,North America and ANZ,7.103,10.776,0.926,73.8,0.915,0.089,0.415,23,"""Logged GDP per capita""",10.776,7.364,10.933,0.956010087,9.1485
Canada,North America and ANZ,7.103,10.776,0.926,73.8,0.915,0.089,0.415,23,"""Social support""",0.926,0.54,0.983,0.871331828,0.7615
Canada,North America and ANZ,7.103,10.776,0.926,73.8,0.915,0.089,0.415,23,"""Healthy life expectancy""",73.8,48.7,75.1,0.950757576,61.9
Canada,North America and ANZ,7.103,10.776,0.926,73.8,0.915,0.089,0.415,23,"""Freedom to make life choices""",0.915,0.561,0.96,0.887218045,0.7605
Canada,North America and ANZ,7.103,10.776,0.926,73.8,0.915,0.089,0.415,23,"""Generosity""",0.089,-0.236,0.509,0.436241611,0.1365
Canada,North America and ANZ,7.103,10.776,0.926,73.8,0.915,0.089,0.415,23,"""Perceptions of corruption""",0.415,0.242,0.918,0.25591716,0.58
Chad,Sub-Saharan Africa,4.355,7.364,0.619,48.478,0.579,0.041,0.807,24,"""Ladder score""",4.355,2.523,7.842,0.344425644,5.1825
Chad,Sub-Saharan Africa,4.355,7.364,0.619,48.478,0.579,0.041,0.807,24,"""Logged GDP per capita""",7.364,7.364,10.933,0,9.1485
Chad,Sub-Saharan Africa,4.355,7.364,0.619,48.478,0.579,0.041,0.807,24,"""Social support""",0.619,0.54,0.983,0.178329571,0.7615
Chad,Sub-Saharan Africa,4.355,7.364,0.619,48.478,0.579,0.041,0.807,24,"""Healthy life expectancy""",48.478,48.7,75.1,-0.008409091,61.9
Chad,Sub-Saharan Africa,4.355,7.364,0.619,48.478,0.579,0.041,0.807,24,"""Freedom to make life choices""",0.579,0.561,0.96,0.045112782,0.7605
Chad,Sub-Saharan Africa,4.355,7.364,0.619,48.478,0.579,0.041,0.807,24,"""Generosity""",0.041,-0.236,0.509,0.371812081,0.1365
Chad,Sub-Saharan Africa,4.355,7.364,0.619,48.478,0.579,0.041,0.807,24,"""Perceptions of corruption""",0.807,0.242,0.918,0.835798817,0.58
Chile,Latin America and Caribbean,6.172,10.071,0.882,70,0.742,-0.044,0.83,25,"""Ladder score""",6.172,2.523,7.842,0.686031209,5.1825
Chile,Latin America and Caribbean,6.172,10.071,0.882,70,0.742,-0.044,0.83,25,"""Logged GDP per capita""",10.071,7.364,10.933,0.758475764,9.1485
Chile,Latin America and Caribbean,6.172,10.071,0.882,70,0.742,-0.044,0.83,25,"""Social support""",0.882,0.54,0.983,0.772009029,0.7615
Chile,Latin America and Caribbean,6.172,10.071,0.882,70,0.742,-0.044,0.83,25,"""Healthy life expectancy""",70,48.7,75.1,0.806818182,61.9
Chile,Latin America and Caribbean,6.172,10.071,0.882,70,0.742,-0.044,0.83,25,"""Freedom to make life choices""",0.742,0.561,0.96,0.453634085,0.7605
