Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Logged GDP per capita Proportion,Social support Proportion,Healthy life expectancy Proportion,Freedom to make life choices Proportion,Generosity Proportion,Perceptions of corruption Proportion
Haiti,Latin America and Caribbean,3.615,0.173,3.953,3.276,7.477,0.54,55.7,0.593,0.422,0.721,2.43,0.294,0.173,0.227,0.257,0.463,0.139,2.06,0.167996808,0.148076923,0.253625988,0.358843537,0.855421687,0.745624271
Honduras,Latin America and Caribbean,5.919,0.082,6.081,5.758,8.648,0.812,67.3,0.857,0.081,0.809,2.43,0.703,0.787,0.593,0.578,0.241,0.083,2.934,0.401636073,0.671153846,0.661000878,0.807823129,0.444578313,0.848308051
Hong Kong S.A.R. of China,East Asia,5.477,0.049,5.573,5.38,11,0.836,76.82,0.717,0.067,0.403,2.43,1.525,0.841,0.893,0.408,0.232,0.342,1.236,0.870909816,0.717307692,0.995329236,0.569727891,0.427710843,0.374562427
Hungary,Central and Eastern Europe,5.992,0.047,6.085,5.899,10.358,0.943,68,0.755,-0.186,0.876,2.43,1.301,1.083,0.615,0.454,0.067,0.04,2.432,0.742817239,0.923076923,0.685583845,0.634353741,0.122891566,0.926487748
Iceland,Western Europe,7.554,0.059,7.67,7.438,10.878,0.983,73,0.955,0.16,0.673,2.43,1.482,1.172,0.772,0.698,0.293,0.17,2.967,0.846568236,1,0.861176471,0.974489796,0.539759036,0.689614936
India,South Asia,3.819,0.026,3.869,3.769,8.755,0.603,60.633,0.893,0.089,0.774,2.43,0.741,0.316,0.383,0.622,0.246,0.106,1.405,0.422984836,0.269230769,0.426865672,0.869047619,0.454216867,0.807467911
Indonesia,Southeast Asia,5.345,0.056,5.454,5.235,9.365,0.811,62.236,0.873,0.542,0.867,2.43,0.954,0.786,0.433,0.598,0.541,0.046,1.987,0.544692737,0.669230769,0.483160667,0.835034014,1,0.915985998
Iran,Middle East and North Africa,4.721,0.055,4.828,4.614,9.584,0.71,66.3,0.608,0.218,0.714,2.43,1.03,0.557,0.561,0.275,0.33,0.144,1.823,0.588387869,0.475,0.625882353,0.384353741,0.609638554,0.737456243
Iraq,Middle East and North Africa,4.854,0.059,4.97,4.738,9.24,0.746,60.583,0.63,-0.053,0.875,2.43,0.91,0.638,0.381,0.302,0.153,0.041,2.429,0.519752594,0.544230769,0.425109745,0.421768707,0.28313253,0.925320887
Ireland,Western Europe,7.085,0.04,7.164,7.006,11.342,0.947,72.4,0.879,0.077,0.363,2.43,1.644,1.092,0.753,0.606,0.238,0.367,2.384,0.939146049,0.930769231,0.840105356,0.845238095,0.439759036,0.327887981
Israel,Middle East and North Africa,7.157,0.034,7.224,7.09,10.575,0.939,73.503,0.8,0.031,0.753,2.43,1.376,1.074,0.788,0.509,0.208,0.119,3.083,0.786113328,0.915384615,0.878841089,0.710884354,0.384337349,0.782963827
Italy,Western Europe,6.483,0.045,6.572,6.395,10.623,0.88,73.8,0.693,-0.084,0.866,2.43,1.393,0.94,0.798,0.379,0.133,0.047,2.794,0.795690343,0.801923077,0.889271291,0.528911565,0.245783133,0.914819137
Ivory Coast,Sub-Saharan Africa,5.306,0.078,5.46,5.152,8.551,0.644,50.114,0.741,-0.016,0.794,2.43,0.669,0.409,0.052,0.438,0.177,0.092,3.469,0.382282522,0.348076923,0.057453907,0.610544218,0.327710843,0.830805134
Jamaica,Latin America and Caribbean,6.309,0.156,6.615,6.004,9.186,0.877,67.5,0.89,-0.137,0.884,2.43,0.891,0.932,0.599,0.618,0.099,0.035,3.135,0.508978452,0.796153846,0.668024583,0.863945578,0.181927711,0.935822637
Japan,East Asia,5.94,0.04,6.02,5.861,10.611,0.884,75.1,0.796,-0.258,0.638,2.43,1.389,0.949,0.838,0.504,0.02,0.192,2.048,0.793296089,0.809615385,0.934925373,0.704081633,0.036144578,0.648774796
Jordan,Middle East and North Africa,4.395,0.062,4.516,4.273,9.182,0.767,67,0.755,-0.167,0.705,2.43,0.89,0.685,0.583,0.455,0.079,0.15,1.553,0.508180367,0.584615385,0.65046532,0.634353741,0.145783133,0.726954492
Kazakhstan,Commonwealth of Independent States,6.152,0.047,6.243,6.06,10.155,0.952,65.2,0.853,-0.069,0.733,2.43,1.23,1.103,0.527,0.573,0.143,0.132,2.446,0.702314445,0.940384615,0.587251975,0.801020408,0.263855422,0.759626604
Kenya,Sub-Saharan Africa,4.607,0.072,4.747,4.466,8.361,0.688,60.704,0.779,0.287,0.825,2.43,0.603,0.508,0.385,0.483,0.375,0.073,2.18,0.344373504,0.432692308,0.429359087,0.675170068,0.692771084,0.86697783
Kosovo,Central and Eastern Europe,6.372,0.059,6.487,6.257,9.318,0.821,63.813,0.869,0.257,0.917,2.43,0.937,0.807,0.483,0.593,0.356,0.014,3.182,0.535315243,0.688461538,0.538542581,0.828231293,0.656626506,0.974329055
Kuwait,Middle East and North Africa,6.106,0.066,6.235,5.977,10.817,0.843,66.9,0.867,-0.104,0.736,2.43,1.461,0.857,0.58,0.591,0.12,0.13,2.368,0.834397446,0.730769231,0.646953468,0.824829932,0.221686747,0.763127188
Kyrgyzstan,Commonwealth of Independent States,5.744,0.046,5.834,5.653,8.538,0.893,64.401,0.935,0.119,0.908,2.43,0.665,0.971,0.501,0.673,0.266,0.02,2.648,0.379688747,0.826923077,0.559192274,0.94047619,0.490361446,0.963827305
Laos,Southeast Asia,5.03,0.045,5.119,4.941,8.947,0.728,58.968,0.91,0.123,0.658,2.43,0.808,0.598,0.33,0.643,0.268,0.179,2.204,0.461292897,0.509615385,0.368393327,0.897959184,0.495180723,0.672112019
Latvia,Central and Eastern Europe,6.032,0.036,6.103,5.961,10.315,0.927,67.1,0.715,-0.162,0.8,2.43,1.285,1.047,0.587,0.405,0.082,0.089,2.536,0.734237829,0.892307692,0.653977173,0.566326531,0.151807229,0.837806301
Lebanon,Middle East and North Africa,4.584,0.055,4.691,4.477,9.626,0.848,67.355,0.525,-0.073,0.898,2.43,1.045,0.868,0.595,0.175,0.14,0.026,1.736,0.596767757,0.740384615,0.662932397,0.243197279,0.259036145,0.952158693
Lesotho,Sub-Saharan Africa,3.512,0.12,3.748,3.276,7.926,0.787,48.7,0.715,-0.131,0.915,2.43,0.451,0.731,0.007,0.405,0.103,0.015,1.8,0.257581804,0.623076923,0.007796313,0.566326531,0.189156627,0.971995333
Liberia,Sub-Saharan Africa,4.625,0.106,4.833,4.417,7.288,0.72,56.498,0.735,0.05,0.85,2.43,0.228,0.58,0.253,0.43,0.221,0.057,2.857,0.13028731,0.494230769,0.281650571,0.600340136,0.407228916,0.896149358
Libya,Middle East and North Africa,5.41,0.076,5.558,5.262,9.622,0.827,62.3,0.771,-0.087,0.667,2.43,1.044,0.821,0.435,0.474,0.131,0.174,2.331,0.595969673,0.7,0.485408253,0.661564626,0.242168675,0.682613769
Lithuania,Central and Eastern Europe,6.255,0.045,6.344,6.167,10.499,0.935,67.906,0.773,-0.203,0.826,2.43,1.35,1.065,0.612,0.476,0.056,0.073,2.624,0.770949721,0.907692308,0.682282704,0.664965986,0.102409639,0.868144691
Luxembourg,Western Europe,7.324,0.037,7.396,7.252,11.647,0.908,72.6,0.907,-0.034,0.386,2.43,1.751,1.003,0.76,0.639,0.166,0.353,2.653,1,0.855769231,0.847129061,0.892857143,0.306024096,0.354725788
Madagascar,Sub-Saharan Africa,4.208,0.072,4.349,4.068,7.396,0.686,59.305,0.552,-0.005,0.803,2.43,0.266,0.503,0.341,0.207,0.185,0.087,2.62,0.151835595,0.428846154,0.38022827,0.289115646,0.340963855,0.841306884
Malawi,Sub-Saharan Africa,3.6,0.092,3.781,3.419,6.958,0.537,57.948,0.78,0.038,0.729,2.43,0.113,0.168,0.298,0.484,0.213,0.134,2.19,0.064445331,0.142307692,0.332572432,0.676870748,0.392771084,0.75495916
Malaysia,Southeast Asia,5.384,0.049,5.48,5.289,10.238,0.817,67.102,0.895,0.125,0.839,2.43,1.259,0.797,0.587,0.624,0.27,0.064,1.784,0.718874701,0.680769231,0.65404741,0.87244898,0.497590361,0.883313886
Maldives,South Asia,5.198,0.072,5.339,5.057,9.826,0.913,70.6,0.854,0.024,0.825,2.43,1.115,1.015,0.697,0.575,0.204,0.073,1.52,0.636671987,0.865384615,0.776892011,0.802721088,0.375903614,0.86697783
Mali,Sub-Saharan Africa,4.723,0.082,4.884,4.563,7.744,0.724,51.969,0.697,-0.036,0.827,2.43,0.387,0.59,0.11,0.384,0.164,0.072,3.016,0.221268955,0.501923077,0.122598771,0.535714286,0.303614458,0.869311552
Malta,Western Europe,6.602,0.044,6.688,6.516,10.674,0.931,72.2,0.927,0.133,0.653,2.43,1.411,1.055,0.747,0.664,0.275,0.183,2.268,0.805865922,0.9,0.833081651,0.926870748,0.507228916,0.666277713
Mauritania,Sub-Saharan Africa,4.227,0.07,4.365,4.09,8.542,0.795,57.161,0.561,-0.106,0.731,2.43,0.666,0.749,0.273,0.218,0.119,0.133,2.069,0.380486832,0.638461538,0.304934153,0.304421769,0.219277108,0.757292882
Mauritius,Sub-Saharan Africa,6.049,0.059,6.165,5.933,10.008,0.905,66.701,0.867,-0.054,0.789,2.43,1.178,0.996,0.574,0.59,0.153,0.096,2.462,0.672984836,0.85,0.639964881,0.824829932,0.281927711,0.824970828
Mexico,Latin America and Caribbean,6.317,0.053,6.42,6.213,9.859,0.831,68.597,0.862,-0.147,0.799,2.43,1.126,0.83,0.634,0.585,0.092,0.089,2.961,0.643256185,0.707692308,0.706549605,0.816326531,0.169879518,0.83663944
Moldova,Commonwealth of Independent States,5.766,0.046,5.856,5.677,9.454,0.857,65.699,0.822,-0.079,0.918,2.43,0.985,0.888,0.542,0.536,0.137,0.013,2.665,0.56245012,0.757692308,0.604776119,0.74829932,0.251807229,0.975495916
Mongolia,East Asia,5.677,0.042,5.76,5.595,9.4,0.935,62.5,0.708,0.116,0.856,2.43,0.966,1.065,0.442,0.397,0.263,0.053,2.492,0.551675978,0.907692308,0.492431958,0.554421769,0.486746988,0.903150525
Montenegro,Central and Eastern Europe,5.581,0.054,5.686,5.475,9.94,0.858,68.699,0.708,-0.034,0.812,2.43,1.155,0.891,0.637,0.397,0.166,0.081,2.254,0.659417398,0.759615385,0.710131694,0.554421769,0.306024096,0.851808635
Morocco,Middle East and North Africa,4.918,0.06,5.036,4.8,8.903,0.56,66.208,0.774,-0.236,0.801,2.43,0.792,0.219,0.558,0.477,0.034,0.088,2.749,0.452513966,0.186538462,0.622651449,0.666666667,0.062650602,0.838973162
Mozambique,Sub-Saharan Africa,4.794,0.103,4.997,4.592,7.158,0.744,54.706,0.882,0.061,0.684,2.43,0.183,0.634,0.196,0.608,0.228,0.163,2.783,0.104349561,0.540384615,0.218718174,0.850340136,0.420481928,0.702450408
Myanmar,Southeast Asia,4.426,0.052,4.527,4.324,8.541,0.779,59.302,0.876,0.509,0.66,2.43,0.666,0.713,0.341,0.601,0.52,0.178,1.407,0.38028731,0.607692308,0.380122915,0.840136054,0.960240964,0.674445741
Namibia,Sub-Saharan Africa,4.574,0.064,4.7,4.448,9.161,0.818,56.799,0.719,-0.149,0.847,2.43,0.882,0.801,0.262,0.411,0.091,0.059,2.068,0.503990423,0.682692308,0.292221247,0.573129252,0.16746988,0.892648775
Nepal,South Asia,5.269,0.07,5.406,5.132,8.12,0.774,64.233,0.782,0.152,0.727,2.43,0.519,0.702,0.496,0.488,0.287,0.135,2.642,0.296288907,0.598076923,0.553292362,0.680272109,0.530120482,0.752625438
Netherlands,Western Europe,7.464,0.027,7.518,7.41,10.932,0.942,72.4,0.913,0.175,0.338,2.43,1.501,1.079,0.753,0.647,0.302,0.384,2.798,0.857342378,0.921153846,0.840105356,0.903061224,0.557831325,0.298716453
New Zealand,North America and ANZ,7.277,0.04,7.355,7.198,10.643,0.948,73.4,0.929,0.134,0.242,2.43,1.4,1.094,0.785,0.665,0.276,0.445,2.612,0.799680766,0.932692308,0.875223881,0.930272109,0.508433735,0.186697783
Nicaragua,Latin America and Caribbean,5.972,0.083,6.134,5.81,8.62,0.864,67.657,0.836,0.02,0.664,2.43,0.693,0.904,0.604,0.553,0.201,0.176,2.841,0.396049481,0.771153846,0.673538191,0.772108844,0.371084337,0.679113186
Niger,Sub-Saharan Africa,5.074,0.102,5.273,4.875,7.098,0.641,53.78,0.806,0.018,0.693,2.43,0.162,0.402,0.167,0.516,0.2,0.157,3.47,0.092378292,0.342307692,0.18619842,0.721088435,0.368674699,0.712952159
Nigeria,Sub-Saharan Africa,4.759,0.052,4.861,4.658,8.533,0.74,50.102,0.737,0.037,0.878,2.43,0.663,0.625,0.051,0.433,0.212,0.039,2.736,0.378691141,0.532692308,0.057032485,0.603741497,0.391566265,0.92882147
Northern Cyprus,Western Europe,5.536,0.051,5.636,5.435,10.576,0.82,73.898,0.795,0.012,0.626,2.43,1.377,0.806,0.801,0.503,0.196,0.2,1.653,0.786312849,0.686538462,0.892712906,0.702380952,0.361445783,0.634772462
Macedonia,Central and Eastern Europe,5.101,0.051,5.202,5.001,9.693,0.805,65.474,0.751,0.038,0.905,2.43,1.068,0.772,0.535,0.45,0.212,0.022,2.042,0.610135674,0.657692308,0.596874451,0.62755102,0.392771084,0.960326721
Norway,Western Europe,7.392,0.035,7.462,7.323,11.053,0.954,73.3,0.96,0.093,0.27,2.43,1.543,1.108,0.782,0.703,0.249,0.427,2.58,0.881484437,0.944230769,0.871712028,0.982993197,0.459036145,0.219369895
Pakistan,South Asia,4.934,0.068,5.066,4.802,8.458,0.651,58.709,0.726,0.098,0.787,2.43,0.637,0.423,0.322,0.418,0.252,0.097,2.784,0.363727055,0.361538462,0.359297629,0.585034014,0.465060241,0.822637106
Palestine,Middle East and North Africa,4.517,0.067,4.649,4.384,8.485,0.826,62.25,0.653,-0.163,0.821,2.43,0.646,0.819,0.434,0.33,0.082,0.075,2.131,0.369114126,0.698076923,0.483652327,0.460884354,0.15060241,0.862310385
Panama,Latin America and Caribbean,6.18,0.073,6.323,6.036,10.35,0.896,69.652,0.872,-0.166,0.856,2.43,1.298,0.976,0.667,0.596,0.079,0.053,2.509,0.741221069,0.832692308,0.743599649,0.833333333,0.146987952,0.903150525
Paraguay,Latin America and Caribbean,5.653,0.092,5.832,5.473,9.448,0.893,65.9,0.876,0.028,0.882,2.43,0.983,0.97,0.549,0.602,0.206,0.037,2.306,0.561252993,0.826923077,0.611834943,0.840136054,0.380722892,0.933488915
Peru,Latin America and Caribbean,5.84,0.075,5.988,5.692,9.458,0.832,68.25,0.822,-0.154,0.891,2.43,0.986,0.833,0.623,0.536,0.087,0.031,2.744,0.563248204,0.709615385,0.694363477,0.74829932,0.161445783,0.943990665
